,M
635,0.012173155753325348
636,0.013854627851884072
637,0.015475878292468895
638,0.017030703142127523
639,0.018513180609055692
640,0.019917693456017974
641,0.021238950142412557
642,0.022472004615960404
643,0.023612274680558234
644,0.024655558872664643
645,0.025598051784664726
646,0.02643635777995825
647,0.02716750305101123
648,0.027788945978275668
649,0.02829858575469515
650,0.02869476924743675
651,0.028976296075509132
652,0.029142421889002013
653,0.029192859842793163
654,0.02912778026468708
655,0.028947808525041363
656,0.028654021121981527
657,0.028247940003271882
658,0.02773152515276966
659,0.027107165476121898
660,0.026377668026935756
661,0.02554624562104319
662,0.02461650289266657
663,0.02359242085224119
664,0.022478340011351638
665,0.021278942145663803
666,0.019999230771862685
667,0.01864451041942113
668,0.017220364782507665
669,0.015732633841474112
670,0.014187390047133892
671,0.012590913664433708
672,0.010949667375122806
673,0.0092702702416262
674,0.007559471136519318
675,0.005824121743779681
676,0.004071149239340336
677,0.0023075287594006783
678,0.0005402557654455646
679,-0.0012236815850057087
680,-0.0029773299532606626
681,-0.004713798112047633
682,-0.006426283909173225
683,-0.00810810079719482
684,-0.009752703826087786
685,-0.01135371499831597
686,-0.012904947888526332
687,-0.014400431433280821
688,-0.01583443279979044
689,-0.017201479246511362
690,-0.0184963788926975
691,-0.019714240318539557
692,-0.020850490922360215
693,-0.021900893966441237
694,-0.02286156424842412
695,-0.0237289823408162
696,-0.02450000734694046
697,-0.025171888127652885
698,-0.025742272959300126
699,-0.026209217589680266
700,-0.02657119166516064
701,-0.026827083508595542
702,-0.026976203234229154
703,-0.02701828419234709
704,-0.026953482743027255
705,-0.02678237636491284
706,-0.026505960111453713
707,-0.02612564143352669
708,-0.025643233393703786
709,-0.025060946303690514
710,-0.024381377822556245
711,-0.023607501559319774
712,-0.022742654229201752
713,-0.0217905214183953
714,-0.02075512201751113
715,-0.019640791388911803
716,-0.018452163337929733
717,-0.017194150962460988
718,-0.015871926459614258
719,-0.014490899971962084
720,-0.013056697559472637
